title,url,type_bill,year,period
PL 243-24 RAFAEL NUÑEZ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3370-proyecto-de-ley-243-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 242-24 PRIMA ACTIVIDAD POLICIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3369-proyecto-de-ley-242-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 241-24 UNIVERSIDAD DEL VALLE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3368-proyecto-de-ley-241-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 240-24 POLÍTICA PÚBLICA EDUCACIÓN RURAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3367-proyecto-de-ley-240-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 233-24 LEY SALVA UN ÁRBOL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3360-proyecto-de-ley-233-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 232-24 INFRAESTRUCTURA FERROVIARIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3359-proyecto-de-ley-232-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 231-24 DIA DEL BOMBERO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3358-proyecto-de-ley-231-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 226-24 FONDO DE PESCA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3356-proyecto-de-ley-226-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 225-24 DEPURACIÓN ARCHIVOS DE INTELIGENCIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3355-proyecto-de-ley-225-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 224-24 ECONOMÍA AZUL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3354-proyecto-de-ley-224-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 223-24 OBSOLESCENCIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3353-proyecto-de-ley-223-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 222-24  SERVICIOS PUBLICOS DOMICILIARIOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3352-proyecto-de-ley-222-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 221-24 SEGURO OBLIGATORIO DAÑOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3351-proyecto-de-ley-221-de-2024,Proyecto de ley,2024-2025,2022 - 2026
