title,url,type_bill,year,period
PL 111-24 MINA DE SAL NEMOCÓN,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3267-proyecto-de-ley-111-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 110-24 TERRAZAS VERDES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3266-proyecto-de-ley-110-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 109-24 PERROS GUÍA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3265-proyecto-de-ley-109-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 108-24 SEGURIDAD ASCENSORES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3264-proyecto-de-ley-108-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 107-24 PROHIBICIÓN INGRESO ESTUDIANTES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3263-proyecto-de-ley-107-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 106-24 SABER 11 SIN BARRERAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3262-proyecto-de-ley-106-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 105-24 TURISMO COMUNITARIO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3261-proyecto-de-ley-105-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 104-24 CREDITOS SECTOR AGROPECUARIO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3260-proyecto-de-ley-104-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 103-24 CONTROL ASISTENCIA CONGRESISTAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3259-proyecto-de-ley-103-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 102-24 ETICA INTERESPECIE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3258-proyecto-de-ley-102-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 101-24 BOSQUE ALTO ANDINO PARAMO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3257-proyecto-de-ley-101-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 100-24 TALA DE ARBOLES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3256-proyecto-de-ley-100-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 099-24 IMPLEMENTACIÓN SISTEMA BICICLETAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3255-proyecto-de-ley-099-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 098-24 MUTILACIONES ESTETICAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3254-proyecto-de-ley-098-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 097-24 MOVILIDAD SALARIAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3253-proyecto-de-ley-097-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 096-24 EXAMEN NAL ESPECIALIDADES MÉDICAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3252-proyecto-de-ley-096-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 095-24 MUNICIPIO DE PINCHOTE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3251-proyecto-de-ley-095-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 094-24 ARTE AL PARQUE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3250-proyecto-de-ley-094-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 093-24 PARTICIPACION LABORAL COMUNIDADES NEGRAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3249-proyecto-de-ley-093-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 092-24 FESTIVAL BOGOTA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3248-proyecto-de-ley-092-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 091-24 ENERGIAS RENOVABLES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3243-proyecto-de-ley-091-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 090-24 FINANCIACIÓN CAMPAÑAS ELECTORALES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3242-proyecto-de-ley-090-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 089-24 INCLUSIÓN FINANCIERA MUJERES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3241-proyecto-de-ley-089-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 088-24 ECONOMÍA SOLIDARIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3240-proyecto-de-ley-088-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 087-24 SEGURIDAD DIGITAL NIÑOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3239-proyecto-de-ley-087-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 086-24 DIA NAL EDUCACIÓN FINANCIERA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3238-proyecto-de-ley-086-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 085-24 ECONOMÍA CAMPESINA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3237-proyecto-de-ley-085-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 084-24 RUTAS DE TRANSPORTE SOCIALES Y TURISTICAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3236-proyecto-de-ley-084-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 083-24 CONSEJOS DE JUVENTUD,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3235-proyecto-de-ley-083-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 082-24 PRACTICAS LABORALES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3234-proyecto-de-ley-082-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 081-24 SUBSIDIO FAMILIAR PARA INDEPENDIENTES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3233-proyecto-de-ley-081-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 080-24 FERIAS DE SERVICIOS EN EL EXTERIOR,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3232-proyecto-de-ley-080-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 079-24 DIA DEL ÁRBOL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3231-proyecto-de-ley-079-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 078-24 MI CASA EN COLOMBIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3230-proyecto-de-ley-078-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 077-24 MARROQUINERÍA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3229-proyecto-de-ley-077-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 076-24 AMNISTÍA BANCO AGRARIO CAMPESINOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3228-proyecto-de-ley-076-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 075-24 FINANCIAMIENTO PASIVO PENSIONAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3227-proyecto-de-ley-075-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 074-24 HONORES JUGADORAS DE RISARALDA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3226-proyecto-de-ley-074-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 073-24 ASOCIACIONES PUBLICO PRIVADAS INFRAESTRUCTURA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3225-proyecto-de-ley-073-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 072-24 TARIFA ORDINARIA SERVICIO DE TRANSPORTE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3224-proyecto-de-ley-072-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 071-24 REQUISITO BILINGUISMO EMBAJADOR,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3223-proyecto-de-ley-071-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 070-24 PERDIDA NUMERO DE CELULAR,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3222-proyecto-de-ley-070-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 069-24 INCLUSION FILIACION CIVIL MATERIA SUCESORAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3221-proyecto-de-ley-069-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 068-24 DERECHOS MORALES DE AUTOR,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3220-proyecto-de-ley-068-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 067-24 MODIF CÓDIGO DE COMERCIO Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3219-proyecto-de-ley-067-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 066-24 AVISO LICENCIA DE CONDUCCIÓN,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3218-proyecto-de-ley-066-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 065-24 ELEMENTOS ALUSIVOS AL TERRORISMO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3217-proyecto-de-ley-065-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 064-24 BAÑOS PERSONAS DISCAPACITADAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3216-proyecto-de-ley-064-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 063-24 SUBSIDIO VIVIENDA VICTIMAS CONFLICTO ARMADO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3215-proyecto-de-ley-063-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 062-24 JORNADA LABORAL TRABAJADORES DOMESTICOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3214-proyecto-de-ley-062-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 061-24 TRATA DE PERSONAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3213-proyecto-de-ley-061-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 060-24 PRESUPUESTO GENERAL DE LA NACIÓN 2025,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3212-proyecto-de-ley-060-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 059-24 SISTEMA SEGURIDAD SOCIAL EN SALUD,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3211-proyecto-de-ley-059-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 058-24 DIGNIFICACIÓN LABORAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3210-proyecto-de-ley-058-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 057-24 LEY GUILLERMO VIECO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3209-proyecto-de-ley-057-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 056-24 BONO ESCOLAR,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3208-proyecto-de-ley-056-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 055-24 ESCALERA DE LA FORMALIDAD Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3207-proyecto-de-ley-055-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 054-24 SALUD Y SEGURIDAD SOCIAL EN SALUD,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3206-proyecto-de-ley-054-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 053-24 HONORES BELISARIO BETANCUR,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3205-proyecto-de-ley-053-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 052-24 HONORES MISAEL PASTRANA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3204-proyecto-de-ley-052-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 051-24 MODIF ESTATUTO DE OPOSICIÓN,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3203-proyecto-de-ley-051-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 050-24 MODIF CODIGO PROCEDIMIENTO PENAL-MATERIAL PROBATORIO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3202-proyecto-de-ley-050-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 049-24 MODIF ESTATUTO CIUDADANIA JUVENIL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3201-proyecto-de-ley-049-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 048-24 MUSICA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3200-proyecto-de-ley-048-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 047-24 INDUSTRIA ELECTRONICA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3199-proyecto-de-ley-047-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 044-24 MULTILINGUISMO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3197-proyecto-de-ley-044-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 043-24 DIA NACIONAL EDUCACIÓN FINANCIERA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3196-proyecto-de-ley-043-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 042-24 USUARIOS TRANSPORTE AEREO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3195-proyecto-de-ley-042-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 041-24 GUILLERMO BUITRAGO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3194-proyecto-de-ley-041-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 040-24 SEMANA NACIONAL DEL TURISMO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3193-proyecto-de-ley-040-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 039-24 DIA NACIONAL DE LA FAMILIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3192-proyecto-de-ley-039-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 038-24 CABILDEO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3191-proyecto-de-ley-038-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 037-24 UNIDAD BUSQUEDA PERSONAS DESAPARECIDAS UBPD Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3190-proyecto-de-ley-037-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 036-24 FONDO FINANCIAMENTO AGRICOLA FEFA Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3189-proyecto-de-ley-036-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 035-24 SERVICIOS BIBLIOTECARIOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3188-proyecto-de-ley-035-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 034-24 LEY JUVENTUDES RURALES Y CAMPESINAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3187-proyecto-de-ley-034-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 033-24 EXONERACION ALIMENTOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3186-proyecto-de-ley-033-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 032-24 GOBERNADORES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3185-proyecto-de-ley-032-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 031-24 MOD ESTATUTO DE OPOSICIÓN Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3184-proyecto-de-ley-031-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 030-24 PROTECCIÓN DEL SUELO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3183-proyecto-de-ley-030-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 025-24 SELLO COMPRA LO NUESTRO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3182-proyecto-de-ley-025-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 024-24 CÓDIGO DEONTOLOGICA DE ENFERMERIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3181-proyecto-de-ley-024-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 023-24 DIAS REMUNERADOS POR MUERTE ANIMAL COMPAÑIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3180-proyecto-de-ley-023-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 022-24 ANIMALES DE COMPAÑIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3179-proyecto-de-ley-022-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 021-24 ECONOMIA DEL HIDROGENO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3178-proyecto-de-ley-021-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 020-24 TEJEDORES LANA DE OVEJA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3177-proyecto-de-ley-020-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 019-24 TEJEDORAS DE LA IRACA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3176-proyecto-de-ley-019-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 018-24 FESTIVAL DEL CUY,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3175-proyecto-de-ley-018-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 017-24 SEMANA SANTA MOMPOX,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3172-proyecto-de-ley-017-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 016-24 UTL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3171-proyecto-de-ley-016-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 015-24 CAMBIO CLIMATICO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3170-proyecto-de-ley-015-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 014-24 CUIDADOS PALIATIVOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3169-proyecto-de-ley-014-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 013-24 GRATUIDAD PRUEBAS ICFES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3168-proyecto-de-ley-013-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 012-24 SITIONUEVO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3167-proyecto-de-ley-012-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 011-24 SALAMINA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3166-proyecto-de-ley-011-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 010-24 LEY EMPATÍA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3165-proyecto-de-ley-010-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 009-24 CORRALEJAS Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3164-proyecto-de-ley-009-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 008-24 MALTRATO ANIMAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3163-proyecto-de-ley-008-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 007-24 ANIMALES PROPIEDAD HORIZONTAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3162-proyecto-de-ley-007-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 006-24 ACTO SEXUAL CON ANIMALES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3161-proyecto-de-ley-006-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 005-24 JUEGOS PIROTECNICOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3160-proyecto-de-ley-005-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 004-24 BIENESTAR ANIMAL Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3159-proyecto-de-ley-004-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 003-24 GLIFOSATO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3158-proyecto-de-ley-003-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 002-24 VICTIMAS SECTOR RELIGIOSO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3157-proyecto-de-ley-002-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 001-24 CON LOS NIÑOS NO TE METAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3156-proyecto-de-ley-001-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PAL 17-24 MOD ARTS 107-108-262 DE LA CP,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3374-proyecto-de-acto-legislativo-17-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 16-24 CURULES PARA QUIENES SIGAN EN VOTOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3373-proyecto-de-acto-legislativo-16-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 15-24 DERECHO FUNDAMENTAL A LA EDUCACIÓN,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3366-proyecto-de-acto-legislativo-15-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 14-24 COLOMBIA LIBRE DE BARRERAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3365-proyecto-de-acto-legislativo-14-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 13-24 EDUCACIÓN COMO DERECHO FUNDAMENTAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3364-proyecto-de-acto-legislativo-13-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 12-24 DISTRITO ESPECIAL A FLORENCIA CAQUETÁ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3363-proyecto-de-acto-legislativo-12-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 11-24 ESTOY VIVO DESDE LA CONCEPCIÓN,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3362-proyecto-de-acto-legislativo-11-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 10-24 CIRCUNSCRIPCIÓN PUEBLOS AFRO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3361-proyecto-de-acto-legislativo-10-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 09-24 CIRCUNSCRIPCIÓN PERSONAS CON DISCAPACIDAD,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3290-proyecto-de-acto-legislativo-09-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 08-24 EDUCACIÓN,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3289-proyecto-de-acto-legislativo-08-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 07-24 DIRECTORES UNIDADES ADMIN ESPECIALES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3272-proyecto-de-acto-legislativo-07-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 06-24 PARIDAD CORPORACIONES PÚBLICAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3247-proyecto-de-acto-legislativo-06-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 05-24 PARTICIPACIÓN MUJERES EN POLITICA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3246-proyecto-de-acto-legislativo-05-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 04-24 DERECHO EDUCACIÓN INICIAL Y MEDIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3245-proyecto-de-acto-legislativo-04-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 03-24 ELECCIÓN MAGISTRADOS CNE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3244-proyecto-de-acto-legislativo-03-de-2024,Acto legislativo,2024-2025,2022 - 2026
PAL 02-24 REPRESENTACIÓN POLÍTICA COLOMBIANOS EN EL EXTERIOR,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3174-proyecto-de-acto-legislativo-02-de-2024,Acto legislativo,2024-2025,2022 - 2026
