No Senado,No Cámara,Objeto de proyecto,Título,Autor,Origen,Fecha de radicación,Comisión,Estado,Contenido,Observaciones,url,Cuatrienio,Legislatura
096 22,,POR MEDIO DE LA CUAL CREAN DISPOSICIONES PARA GARANTIZAR EL ACCESO Y FORMALIZACION DE TIERRAS PARA LAS MUJERES,POR MEDIO DE LA CUAL CREAN DISPOSICIONES PARA GARANTIZAR EL ACCESO Y FORMALIZACION DE TIERRAS PARA LAS MUJERES,['H.S PIEDAD ESNEDA CORDOBA RUIZ'],SENADO DE LA REPUBLICA,03 Agosto 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/108,2022 - 2026,2022 - 2023
097 22,194 23,POR MEDIO DE LA CUAL SE MODIFICA EL REGIMEN SALARIAL DE LOS CONGRESISTAS DE LA REPUBLICA Y SE MODIFICA LA LEY 4 DE 1992,MODIFICA EL REGIMEN SALARIAL DE LOS CONGRESISTAS DE LA REPUBLICA Y SE MODIFICA LA LEY 4 DE 1992,['H.S JONATHAN PULIDO HERNANDEZ.'],SENADO DE LA REPUBLICA,03 Agosto 2022,PRIMERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/109,2022 - 2026,2022 - 2023
098 22,,POR LA CUAL SE CREA LA LICENCIA AMBIENTAL PARA LA FASE DE EXPLORACIÓN MINERA Y SE DICTAN OTRAS DISPOSICIONES,CREA LA LICENCIA AMBIENTAL PARA LA FASE DE EXPLORACIÓN MINERA Y SE DICTAN OTRAS DISPOSICIONES,"['H', 'S ANGÉLICA LOZANO CORREA', ' INTI RAÚL ASPRILLA REYES', ' FABIÁN DÍAZ PLATA', ' IVÁN LEONIDAS NAME VASQUEZ', ' ANDREA PADILLA VILLARRAGA', ' JONATHAN FERNEY PULIDO.']",SENADO DE LA REPUBLICA,04 Agosto 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/110,2022 - 2026,2022 - 2023
099 22,329 23,"POR EL CUAL ORDENA LA CONVERSIÓN DE LOS ZOOLÓGICOS, ACUARIOS, AVIARIOS, BIOPARQUES Y ESTABLECIMIENTOS SIMILARES HACIA EL MODELO DE REFUGIOS DE FAUNA Y SE DICTAN OTRAS DISPOSICIONES .",POR EL CUAL ORDENA LA CONVERSIÓN DE LOS ZOOLÓGICOS,"['H.S ANDREA PADILLA VILLARRAGA', ' MARÍA JOSÉ PIZARRO RODRÍGUEZ', ' GUIDO ECHEVERRI PIEDRAHITA', ' FABIÁN DÍAZ PLATA', ' IVÁN LEONIDAS NAME VASQUEZ', ' ALEXANDER LÓPEZ MAYA.']",SENADO DE LA REPUBLICA,04 Agosto 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/111,2022 - 2026,2022 - 2023
100 22,,POR MEDIO DEL CUAL SE DICTAN NORMAS PARA LA CONSERVACIÓN DE LOS HUMEDALES DESIGNADOS DENTRO DE LA LISTA DE IMPORTANCIA INTERNACIONAL DE LA CONVENCIÓN RAMSAR Y SE DICTAN OTRAS DISPOSICIONES,POR MEDIO DEL CUAL SE DICTAN NORMAS PARA LA CONSERVACIÓN DE LOS HUMEDALES DESIGNADOS DENTRO DE LA LISTA DE IMPORTANCIA INTERNACIONAL DE LA CONVENCIÓN RAMSAR Y SE DICTAN OTRAS DISPOSICIONES,"['H.S ANGÉLICA LOZANO CORREA', ' INTI RAÚL ASPRILLA REYES', ' HUMBERTO DE LA CALLE LOMBANA', ' FABIÁN DÍAZ PLATA', ' IVÁN LEONIDAS NAME VASQUEZ', ' JONATHAN FERNEY PULIDO.']",SENADO DE LA REPUBLICA,04 Agosto 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/112,2022 - 2026,2022 - 2023
101 22,332 22,"POR MEDIO DE LA CUAL SE ADOPTAN MEDIDAS DE PREVENCIÓN, PROTECCIÓN Y SANCIÓN DEL ACOSO SEXUAL, EL ACOSO SEXUAL DIGITAL Y OTRAS FORMAS DE VIOLENCIA SEXUAL DENTRO DEL CONTEXTO LABORAL, PROFESIONAL Y EDUCATIVO, Y SE DICTAN OTRAS DISPOSICIONES .",ADOPTAN MEDIDAS DE PREVENCIÓN,"['ANGÉLICA LISBETH LOZANO CORREA', ' ARIEL FERNANDO ÁVILA MARTÍNEZ', ' EDWING FABIÁN DÍAZ PLATA', ' IVÁN LEONIDAS NAME VÁSQUEZ', ' NADYA GEORGETTE BLEL SCAFF CAROLINA GIRALDO BOTERO', ' CATHERINE JUVINAO CLAVIJO', ' CRISTIAN DANILO AVENDAÑO FINO', ' JUAN DIEGO MUÑÓZ CABRERA', ' DANIEL CARVALHO MEJÍA', ' DUVALIER SÁNCHEZ ARANGO', ' JAIME RAÚL SALAMANCA TORRES', ' SANTIAGO OSORIO MARÍN', ' JENNIFER DALLEY PEDRAZA SANDOVAL', ' ALEJANDRO GARCÍA RIOS', ' ELKIN RODOLFO OSPINA OSPINA', ' JUAN SEBASTIÁN GÓMEZ GONZÁLEZ', '']",SENADO DE LA REPUBLICA,04 Agosto 2022,SEPTIMA,LEY,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/113,2022 - 2026,2022 - 2023
102 22 Acumulado PL. 15 22,,"POR EL CUAL SE MODIFICA LA LEY 84 DE 1989, LA LEY 599 DE 2000, LA LEY 1774 DE 2016, LA LEY 1801 DE 2016 Y SE DICTAN OTRAS DISPOSICIONES .",POR EL CUAL SE MODIFICA LA LEY 84 DE 1989,"['H.S ANDREA PADILLA VILLARRAGA', ' GUIDO ECHEVERRI PIEDRAHITA', ' ANA CAROLINA ESPITIA JEREZ', ' IVÁN LEONIDAS NAME VASQUEZ', ' ALEXANDER LÓPEZ MAYA', ' MARCOS DANIEL PINEDA GARCÍA.']",SENADO DE LA REPUBLICA,04 Agosto 2022,PRIMERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/114,2022 - 2026,2022 - 2023
103 22,,POR LA CUAL SE PROHÍBE PROGRESIVAMENTE LA EXPORTACIÓN MARÍTIMA DE ANIMALES EN PIE CON FINES DE CONSUMO Y SE DICTAN OTRAS DISPOSICIONES .,PROHÍBE PROGRESIVAMENTE LA EXPORTACIÓN MARÍTIMA DE ANIMALES EN PIE CON FINES DE CONSUMO Y SE DICTAN OTRAS DISPOSICIONES .,"['H.S ANDREA PADILLA VILLARRAGA', ' ANGÉLICA LOZANO', ' ANA CAROLINA ESPITIA JEREZ', ' GUIDO ECHEVERRI', 'PIEDRAHITA', ' FABIÁN DÍAZ PLATA', ' IVÁN LEONIDAS NAME VASQUEZ', ' ALEXANDER LÓPEZ MAYA', ' MARÍA JOSÉ PIZARRO RODRÍGUEZ', ' ISABEL CRISTINA ZULETA LOPEZ.']",SENADO DE LA REPUBLICA,04 Agosto 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/115,2022 - 2026,2022 - 2023
104 22 ACUM 051 22,,POR MEDIO DE LA CUAL SE DICTAN MEDIDAS PARA REDUCIR EL COSTO EDUCATIVO DEL DERECHO DE GRADO Y SE DICTAN OTRAS DISPOSICIONES.,DICTAN MEDIDAS PARA REDUCIR EL COSTO EDUCATIVO DEL DERECHO DE GRADO Y SE DICTAN OTRAS DISPOSICIONES.,"['H.S NADYA BLEL SCAFF', ' JUAN SAMY MERHEG MARÚN', ' GERMÁN BLANCO ÁLVAREZ', ' EFRAÍN CEPEDA SARABIA.']",SENADO DE LA REPUBLICA,04 Agosto 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/116,2022 - 2026,2022 - 2023
105 22,348 24,"POR MEDIO DE LA CUAL SE ESTABLECEN LOS CARGOS, OFICIOS O PROFESIONES SUSCEPTIBLES DE APLICACIÓN DE LA INHABILIDAD POR DELITOS SEXUALES CONTRA MENORES Y SE DICTAN OTRAS DISPOSICIONES. ENTORNOS SEGUROS",ESTABLECEN LOS CARGOS,"['H.S NADYA BLEL SCAFF', ' JUAN SAMY MERHEG MARÚN', ' EFRAÍN CEPEDA SARABIA', ' H.R JULIANA ARAY FRANCO', ' JORGE ALEXANDER QUEVEDO HERRERA']",SENADO DE LA REPUBLICA,05 Agosto 2022,PRIMERA,LEY,,JURIDICO,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/117,2022 - 2026,2022 - 2023
