No Senado,No Cámara,Objeto de proyecto,Título,Autor,Origen,Fecha de radicación,Comisión,Estado,Contenido,Observaciones,url,Cuatrienio,Legislatura
001 22,325 22,POR MEDIO DE LA CUAL SE MODIFICA EL ARTÍCULO 1 DE LA LEY 1335 DE 2009 Y SE DICTAN OTRAS DISPOSICIONES PROHIBICIÓN DE CONSUMO DE TABACO EN MENORES DE EDAD VAPEADORES,MODIFICA EL ARTÍCULO 1 DE LA LEY 1335 DE 2009 Y SE DICTAN OTRAS DISPOSICIONES PROHIBICIÓN DE CONSUMO DE TABACO EN MENORES DE EDAD VAPEADORES,"['NORMA HURTADO SANCHEZ', ' JOSÉ DAVID NAME CARDOZO']",SENADO DE LA REPUBLICA,20 Julio 2022,SEPTIMA,LEY,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/1,2022 - 2026,2022 - 2023
002 22,424 23,POR MEDIO DE LA CUAL SE ORDENA LA MODERNIZACIÓN Y ACTUALIZACIÓN PERMANENTE DEL PROGRAMA AMPLIADO DE INMUNIZACIONES PAI Y SE DICTAN OTRAS DISPOSICIONES .,ORDENA LA MODERNIZACIÓN Y ACTUALIZACIÓN PERMANENTE DEL PROGRAMA AMPLIADO DE INMUNIZACIONES PAI Y SE DICTAN OTRAS DISPOSICIONES .,['NORMA HURTADO SANCHEZ'],SENADO DE LA REPUBLICA,20 Julio 2022,SEPTIMA,SANCIÓN PRESIDENCIAL,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/2,2022 - 2026,2022 - 2023
003 22 Acum 182 22,232 23,"POR EL CUAL SE REFORMA LA LEGISLACIÓN EN MATERIA DE DEPORTE, RECREACIÓN, ACTIVIDAD FÍSICA Y APROVECHAMIENTO DEL TIEMPO LIBRE Y SE DICTAN OTRAS DISPOSICIONES",POR EL CUAL SE REFORMA LA LEGISLACIÓN EN MATERIA DE DEPORTE,['NORMA HURTADO SÁNCHEZ'],SENADO DE LA REPUBLICA,20 Julio 2022,SEPTIMA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/3,2022 - 2026,2022 - 2023
004 22,,"POR MEDIO DEL CUAL SE MODIFICA LA LEY 769 DE 2002, CÓDIGO NACIONAL DE TRÁNSITO TERRESTRE, Y SE DICTAN OTRAS DISPOSICIONES LEY GUILLERMO VIECCO .",POR MEDIO DEL CUAL SE MODIFICA LA LEY 769 DE 2002,['NORMA HURTADO SANCHEZ'],SENADO DE LA REPUBLICA,20 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/4,2022 - 2026,2022 - 2023
005 22,454 24,POR LA CUAL SE REGULA EN LA LEY 1448 DE 2011 LA SITUACIÓN JURÍDICA DE LOS SEGUNDOS OCUPANTES VULNERABLES DE PREDIOS OBJETO DE RESTITUCIÓN,REGULA EN LA LEY 1448 DE 2011 LA SITUACIÓN JURÍDICA DE LOS SEGUNDOS OCUPANTES VULNERABLES DE PREDIOS OBJETO DE RESTITUCIÓN,['MARIA FERNANDA CABAL MOLINA'],SENADO DE LA REPUBLICA,20 Julio 2022,PRIMERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/5,2022 - 2026,2022 - 2023
006 22 Acum. PL 095 22 y 109 22,320 22,POR MEDIO DE LA CUAL SE ESTABLECEN MEDIDAS PARA PREVENIR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES EN LA VIDA POLÍTICA Y SE DICTAN OTRAS DISPOSICIONES .,ESTABLECEN MEDIDAS PARA PREVENIR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES EN LA VIDA POLÍTICA Y SE DICTAN OTRAS DISPOSICIONES .,"['H.S NADIA BLEL SCAFF', ' ANGELICA LOZANO', ' EFRAÍN CEPEDA SARABIA', ' SOLEDAD TAMAYO TAMAYO', ' JUAN SAMY MERHEG MARUN', ' MIGUEL ANGEL BARRETO CASTILLO', ' CARLOS ANDRES TRUJILLO', ' DIELA LILIANA BENAVIDES SOLARTE', ' JOSE ALFREDO MARIN LOZANO', ' LILIANA BITAR CASTILLA', ' GERMAN BLANCO ALVAREZ', ' MARCOS DANIEL PINEDA GARCÍA.']",SENADO DE LA REPUBLICA,20 Julio 2022,PRIMERA,CORTE CONSTITUCIONAL,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/6,2022 - 2026,2022 - 2023
007 22,,"POR MEDIO DEL CUAL SE PROMUEVE LA AGROECOLOGÍA EN COLOMBIA, SE CONFORMA LA MESA TÉCNICA PARA LA FORMULACIÓN DE UN PLAN NACIONAL DE AGROECOLOGÍA PNA, SE PLANTEAN ESTRATEGIAS E INCENTIVOS PARA LA PRODUCCIÓN, COMERCIALIZACIÓN, TRANSFORMACIÓN Y CONSUMO DE PRODUCTOS AGROECOLÓGICOS EN EL TERRITORIO NACIONAL Y SE DICTAN OTRAS DISPOSICIONES",POR MEDIO DEL CUAL SE PROMUEVE LA AGROECOLOGÍA EN COLOMBIA,['CÉSAR AUGUSTO PACHÓN ACHURY.'],SENADO DE LA REPUBLICA,20 Julio 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/7,2022 - 2026,2022 - 2023
008 22,,"POR MEDIO DE LA CUAL SE ESTABLECEN MECANISMOS PARA DETENER Y EVITAR LA PÉRDIDA DE LA BIODIVERSIDAD EN EL TERRITORIO NACIONAL, Y SE DICTAN OTRAS DISPOSICIONES",ESTABLECEN MECANISMOS PARA DETENER Y EVITAR LA PÉRDIDA DE LA BIODIVERSIDAD EN EL TERRITORIO NACIONAL,['H.S NICOLAS ALBEIRO ECHEVERRY ALVARAN H.R ANDRES FELIPE JIMENEZ VARGAS'],SENADO DE LA REPUBLICA,20 Julio 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/8,2022 - 2026,2022 - 2023
009 22,,"POR MEDIO DE LA CUAL SE CREA EL FONDO DE EMPRENDIMIENTO PARA LA MUJER, FEM, COMO INSTRUMENTO PARA IMPULSAR EL EMPRENDIMIENTO, EL EMPLEO Y LA CULTURA FINANCIERA Y SE DICTAN OTRAS DISPOSICIONES",CREA EL FONDO DE EMPRENDIMIENTO PARA LA MUJER,['LILIANA BITAR CASTILLA'],SENADO DE LA REPUBLICA,20 Julio 2022,TERCERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/9,2022 - 2026,2022 - 2023
010 22,,POR MEDIO DE LA CUAL SE ADOPTAN MEDIDAS SOBRE EL SEGURO OBLIGATORIO DE DAÑOS CORPORALES CAUSADOS A LAS PERSONAS EN ACCIDENTES DE TRANSITO,ADOPTAN MEDIDAS SOBRE EL SEGURO OBLIGATORIO DE DAÑOS CORPORALES CAUSADOS A LAS PERSONAS EN ACCIDENTES DE TRANSITO,['JOSE VICENTE CARREÑO CASTRO'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/10,2022 - 2026,2022 - 2023
011 22,249 23,POR MEDIO DE LA CUAL SE MODIFICA EL ARTICULO 8 DE LA LEY 982 DE 2005 Y SE DICTAN OTRAS DISPOSICIONES .,MODIFICA EL ARTICULO 8 DE LA LEY 982 DE 2005 Y SE DICTAN OTRAS DISPOSICIONES .,"['JOSE VICENTE CARREÑO CASTRO', ' ALEJANDRO CARLOS CHACON CAMARGO', ' YENNY ESPERANZA ROZO ZAMBRANO', ' ESTEBAN QUINTERO CARDONA.']",SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,SANCIÓN PRESIDENCIAL,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/11,2022 - 2026,2022 - 2023
012 22,,POR MEDIO DE LA CUAL SE RECONOCE Y DIGNIFICA LA LABOR DE LOS RECICLADORES DE OFICIO,RECONOCE Y DIGNIFICA LA LABOR DE LOS RECICLADORES DE OFICIO,"['EDWING FABIÁN DÍAZ PLATA', ' CESAR AUGUSTO PACHÓN ACHURY']",SENADO DE LA REPUBLICA,21 Julio 2022,SEPTIMA,ARCHIVADO POR RETIRO DEL AUTOR,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/12,2022 - 2026,2022 - 2023
013 22,,POR EL MEDIO DE LA CUAL SE MODIFICA LA LEY 635 DE 2000,POR EL MEDIO DE LA CUAL SE MODIFICA LA LEY 635 DE 2000,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/13,2022 - 2026,2022 - 2023
014 22,,POR MEDIO DEL CUAL SE FOMENTA LA DEMOCRATIZACION DEL CREDITO AL SECTOR AGRARIO,POR MEDIO DEL CUAL SE FOMENTA LA DEMOCRATIZACION DEL CREDITO AL SECTOR AGRARIO,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,TERCERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/14,2022 - 2026,2022 - 2023
015 22 Acum. PL 102 22,,POR MEDIO DEL CUAL SE INCORPORAN LAS MUTILACIONES COMO FORMA DE MALTRATO ANIMAL,POR MEDIO DEL CUAL SE INCORPORAN LAS MUTILACIONES COMO FORMA DE MALTRATO ANIMAL,['FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,PRIMERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/15,2022 - 2026,2022 - 2023
016 22,,POR MEDIO DE LA CUAL SE ESTABLECE LA CATEDRA DE BIENESTAR Y PROTECCION ANIMAL EN TODAS LAS INSTITUCIONES EDUCATIVAS DEL PAIS . LEY JUPITER.,ESTABLECE LA CATEDRA DE BIENESTAR Y PROTECCION ANIMAL EN TODAS LAS INSTITUCIONES EDUCATIVAS DEL PAIS . LEY JUPITER.,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/16,2022 - 2026,2022 - 2023
017 22,,"POR LA CUAL SE PROHIBE LA PESCA INDUSTRIAL DE PECES CARTILAGINOSOS, EL ALETEO Y SE DICTAN OTRAS DISPOSICIONES",PROHIBE LA PESCA INDUSTRIAL DE PECES CARTILAGINOSOS,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/17,2022 - 2026,2022 - 2023
018 22,,POR MEDIO DE LA CUAL SE ESTABLECEN LAS PAUTAS PARA LA IMPLEMENTACION DEL SISTEMA DE BICICLETAS PUBLICO Y SE DICTAN OTRAS DISPOSICIONES,ESTABLECEN LAS PAUTAS PARA LA IMPLEMENTACION DEL SISTEMA DE BICICLETAS PUBLICO Y SE DICTAN OTRAS DISPOSICIONES,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/18,2022 - 2026,2022 - 2023
019 22,,POR MEDIO DE LA CUAL SE IMPLEMENTAN MEDIDAS PARA PROTEGER Y DESARROLLAR LA PRODUCCION AGROPECUARIA NACIONAL,IMPLEMENTAN MEDIDAS PARA PROTEGER Y DESARROLLAR LA PRODUCCION AGROPECUARIA NACIONAL,['H.S FABIA DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,TERCERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/19,2022 - 2026,2022 - 2023
020 22,,POR MEDIO DEL CUAL SE FOMENTA LA CREACION DE EMPRESAS VERDES Y SE DICTAN OTRAS DISPOSICIONES,POR MEDIO DEL CUAL SE FOMENTA LA CREACION DE EMPRESAS VERDES Y SE DICTAN OTRAS DISPOSICIONES,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,TERCERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/21,2022 - 2026,2022 - 2023
021 22,385 24,POR MEDIO DEL CUAL SE INCENTIVA LA CULTURA Y A LOS ARTISTAS EN COLOMBIA MEDIANTE LA CREACION DEL PROGRAMA ARTE AL PARQUE Y SE DICTAN OTRAS DISPOSICIONES,POR MEDIO DEL CUAL SE INCENTIVA LA CULTURA Y A LOS ARTISTAS EN COLOMBIA MEDIANTE LA CREACION DEL PROGRAMA ARTE AL PARQUE Y SE DICTAN OTRAS DISPOSICIONES,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/22,2022 - 2026,2022 - 2023
022 22,159 23,"POR MEDIO DE LA CUAL LA NACION DECLARA PATRIMONIO HISTORICO Y CULTURAL AL MUNICIPIO DE PIEDECUESTA, DEPARTAMENTO DE SANTANDER Y SE RECONOCEN LOS SABERES ANCESTRALES DE LOS ARTESANOS, CREADORES Y GESTORES CULTURALES",POR MEDIO DE LA CUAL LA NACION DECLARA PATRIMONIO HISTORICO Y CULTURAL AL MUNICIPIO DE PIEDECUESTA,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,LEY,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/23,2022 - 2026,2022 - 2023
023 22,,POR MEDIO DEL CUAL SE INCENTIVA LA GENERACIÓN DE EMPLEO VERDE Y SE DICTAN OTRAS DISPOSICIONES,POR MEDIO DEL CUAL SE INCENTIVA LA GENERACIÓN DE EMPLEO VERDE Y SE DICTAN OTRAS DISPOSICIONES,['EDWING FABIÁN DÍAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEPTIMA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/24,2022 - 2026,2022 - 2023
024 22,,POR MEDIO DEL CUAL SE MODIFICAN LA LEY 105 DE 1993 Y LA LEY 1508 DE 2012 Y SE REESTRUCTURA LA POLÍTICA TARIFARIA DE LOS PEAJES EN LA INFRAESTRUCTURA DE TRANSPORTE .,POR MEDIO DEL CUAL SE MODIFICAN LA LEY 105 DE 1993 Y LA LEY 1508 DE 2012 Y SE REESTRUCTURA LA POLÍTICA TARIFARIA DE LOS PEAJES EN LA INFRAESTRUCTURA DE TRANSPORTE .,['FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/25,2022 - 2026,2022 - 2023
025 22,,POR MEDIO DEL CUAL SE ESTABLECE UN PISO DE AUMENTO A LOS SALARIOS PAGADOS EN EL TERRITORIO NACIONAL,POR MEDIO DEL CUAL SE ESTABLECE UN PISO DE AUMENTO A LOS SALARIOS PAGADOS EN EL TERRITORIO NACIONAL,['EDWING FABIÁN DÍAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEPTIMA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/26,2022 - 2026,2022 - 2023
026 22,,POR MEDIO DEL CUAL SE REGLAMENTE LA PRESENTACION DE LA LICENCIA DE CONDUCCION VIRTUAL Y SE CREAN OTRAS DISPOSICIONES,POR MEDIO DEL CUAL SE REGLAMENTE LA PRESENTACION DE LA LICENCIA DE CONDUCCION VIRTUAL Y SE CREAN OTRAS DISPOSICIONES,['FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/27,2022 - 2026,2022 - 2023
027 22,,"POR LA CUAL SE PROMOCIONA EL DESARROLLO DEL PROGRAMA NACIONAL DE VIVIENDA ABIERTA PARA HABITANTES DE Y EN CALLE, EN DESARROLLO DEL OBJETIVO ESPECÍFICO DE DESARROLLO HUMANO INTEGRAL CONTENIDO EN LA POLÍTICA PÚBLICA SOCIAL PARA HABITANTE DE CALLE, Y SE DICTAN OTRAS DISPOSICIONES",PROMOCIONA EL DESARROLLO DEL PROGRAMA NACIONAL DE VIVIENDA ABIERTA PARA HABITANTES DE Y EN CALLE,['FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEPTIMA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/28,2022 - 2026,2022 - 2023
028 22,,POR MEDIO DEL CUAL SE RECONOCE LA LABOR DE LAS MADRES CUIDADORAS Y DE LOS CUIDADORES DE PERSONAS EN SITUACIÓN DE DISCAPACIDAD SEVERA O TOTAL,POR MEDIO DEL CUAL SE RECONOCE LA LABOR DE LAS MADRES CUIDADORAS Y DE LOS CUIDADORES DE PERSONAS EN SITUACIÓN DE DISCAPACIDAD SEVERA O TOTAL,['EDWING FABIÁN DÍAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEPTIMA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/29,2022 - 2026,2022 - 2023
029 22 acumulado 058 22,,POR MEDIO DE LA CUAL SE CREA LA POLITICA PUBLICA COLOMBIA CONSUME RESPONSABLE PARA PREVENIR LA PERDIDA Y EL DESPERDICIO DE BIENES DURADEROS Y SE DICTAN OTRAS DISPOSICIONES,CREA LA POLITICA PUBLICA COLOMBIA CONSUME RESPONSABLE PARA PREVENIR LA PERDIDA Y EL DESPERDICIO DE BIENES DURADEROS Y SE DICTAN OTRAS DISPOSICIONES,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,QUINTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/30,2022 - 2026,2022 - 2023
030 22,,POR MEDIO DEL CUAL SE PROHIBE A LAS INSTITUCIONES EDUCATIVAS PUBLICAS Y PRIVADAS IMPEDIR EL ACCESO A LAS INSTALACIONES A ESTUDIANTES BAJO SU CUIDADO,POR MEDIO DEL CUAL SE PROHIBE A LAS INSTITUCIONES EDUCATIVAS PUBLICAS Y PRIVADAS IMPEDIR EL ACCESO A LAS INSTALACIONES A ESTUDIANTES BAJO SU CUIDADO,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/31,2022 - 2026,2022 - 2023
031 22,160 23,POR MEDIO DE LA CUAL SE RECONOCEN COMO SUJETOS DE ESPECIAL PROTECCIÓN CONSTITUCIONAL A LAS PERSONAS QUE PADECEN CÁNCER,RECONOCEN COMO SUJETOS DE ESPECIAL PROTECCIÓN CONSTITUCIONAL A LAS PERSONAS QUE PADECEN CÁNCER,['EDWING FABIÁN DÍAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEPTIMA,LEY,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/32,2022 - 2026,2022 - 2023
032 22,,"POR MEDIO DEL CUAL SE REGLAMENTAN LOS REQUISITOS MINIMOS, TECNICOS Y DE SEGURIDAD PARA LOS VEHICULOS DE CERO O BAJAS EMISIONES Y SE DICTAN OTRAS DISPOSICIONES",POR MEDIO DEL CUAL SE REGLAMENTAN LOS REQUISITOS MINIMOS,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/33,2022 - 2026,2022 - 2023
033 22,,"POR MEDIO DEL CUAL SE MODIFICA LA LEY 300 DE 1992, Y SE DICTAN DISPOSICIONES EN MATERIA DE TURISMO COMUNITARIO",POR MEDIO DEL CUAL SE MODIFICA LA LEY 300 DE 1992,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/34,2022 - 2026,2022 - 2023
034 22,,POR MEDIO DE LA CUAL SE MODIFICA LA LEY 1829 DE 2017,MODIFICA LA LEY 1829 DE 2017,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/35,2022 - 2026,2022 - 2023
035 22,,POR MEDIO DEL CUAL SE IMPLEMENTA NUEVO CONTROL DE ASISTENCIA DE LOS CONGRESISTAS,POR MEDIO DEL CUAL SE IMPLEMENTA NUEVO CONTROL DE ASISTENCIA DE LOS CONGRESISTAS,['H.S FABIAN DIAZ PLATA'],SENADO DE LA REPUBLICA,21 Julio 2022,PRIMERA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/36,2022 - 2026,2022 - 2023
036 22,,POR LA CUAL SE PROHIBEN PROGRESIVAMENTE LAS PRACTICAS DE ENTRETENIMIENTO CRUEL CON ANIMALES Y SE DICTAN OTRAS DISPOSICIONES,PROHIBEN PROGRESIVAMENTE LAS PRACTICAS DE ENTRETENIMIENTO CRUEL CON ANIMALES Y SE DICTAN OTRAS DISPOSICIONES,['H.S ANDREA PADILLA VILLARRAGA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO POR RETIRO DEL AUTOR,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/37,2022 - 2026,2022 - 2023
037 22,,"POR EL CUAL ORDENA LA CONVERSION DE LOS ZOOLOGICOS, ACUARIOS, AVIARIOS, BIOPARQUES Y ESTABLECIMIENTOS SIMILARES HACIA EL MODELO DE REFUGIOS DE FAUNA Y SE DICTAN OTRAS DISPOSICIONES",POR EL CUAL ORDENA LA CONVERSION DE LOS ZOOLOGICOS,['H.S ANDREA PADILLA VILLARRAGA'],SENADO DE LA REPUBLICA,21 Julio 2022,SEXTA,ARCHIVADO POR RETIRO DEL AUTOR,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/38,2022 - 2026,2022 - 2023
038 22,422 23,POR MEDIO DE LA CUAL SE PROMUEVE EL TURISMO DE AVES COMO ESTRATEGIA DE CONSERVACIÓN Y DESARROLLO RURAL,PROMUEVE EL TURISMO DE AVES COMO ESTRATEGIA DE CONSERVACIÓN Y DESARROLLO RURAL,"['SOLEDAD TAMAYO TAMAYO', ' NADYA GEORGETTE BLEL SCAFF', ' JUAN CARLOS GARCIA GOMEZ', ' ANA MARIA CASTAÑEDA', ' MIGUEL ANGEL BARRETO CASTILLO', ' EFRAIN CEPEDA SARABIA', ' JOSE ALFREDO MARIN LOZANO', 'CARLOS ANDRES TRUJILLO GONZALEZ JULIO ROBERTO SALAZAR PERDOMO']",SENADO DE LA REPUBLICA,22 Julio 2022,SEXTA,LEY,,ANIMAL,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/39,2022 - 2026,2022 - 2023
039 22 ACUM 050 22,,POR MEDIO DE LA CUAL SE CREA LA POLÍTICA PÚBLICA DE EDUCACIÓN RURAL EN COLOMBIA,CREA LA POLÍTICA PÚBLICA DE EDUCACIÓN RURAL EN COLOMBIA,"['H.S SOLEDAD TAMAYO TAMAYO', ' NADYA GEORGETTE BLEL SCAFF', ' JUAN CARLOS GARCIA GOMEZ', ' ANA MARIA CASTAÑEDA', ' MIGUEL ANGEL BARRETO CASTILLO', ' EFRAIN CEPEDA SARABIA', ' NICOLAS ALBEIRO ECHEVERRY ALVARAN', ' MARCOS DANIEL PINEDA GARCIA', ' JOSE ALFREDO MARIN ', ' JULIO ROBERTO SALAZAR', ' CARLOS ANDRES TRUJILLO GONZÁLEZ']",SENADO DE LA REPUBLICA,22 Julio 2022,SEXTA,ARCHIVADO,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/40,2022 - 2026,2022 - 2023
040 22,,POR LA CUAL SE ESTABLECEN MEDIDAS PARA COMBATIR EL HURTO DE CELULARES EN COLOMBIA,ESTABLECEN MEDIDAS PARA COMBATIR EL HURTO DE CELULARES EN COLOMBIA,"['H.S SOLEDAD TAMAYO TAMAYO', ' LILIANA ESTHER BITAR CASTILLA', ' EFRAÍN CEPEDA SARABIA ', 'MIGUEL ANGEL BARRETO CASTILLO ', 'JOSÉ ALFREDO MARÍN']",SENADO DE LA REPUBLICA,22 Julio 2022,SEXTA,ARCHIVADO POR RETIRO DEL AUTOR,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/41,2022 - 2026,2022 - 2023
041 22,,"POR MEDIO DE LA CUAL SE CREA EL BANCO NACIONAL DE VOLUNTARIADO, SE REGULA SU FUNCIONAMIENTO Y SE ESTABLECEN OTRAS DISPOSICIONES",CREA EL BANCO NACIONAL DE VOLUNTARIADO,"['SOLEDAD TAMAYO TAMAYO', ' LILIANA ESTHER BITAR CASTILLA', ' MIGUEL ÁNGEL BARRETO CASTILLO', ' EFRAÍN JOSÉ CEPEDA SARABIA', ' JUAN CARLOS GARCÍA GÓMEZ', ' NICOLÁS ALBEIRO ECHEVERRY ALVARÁN JULIO ROBERTO SALAZAR PERDOMO.']",SENADO DE LA REPUBLICA,22 Julio 2022,SEPTIMA,ARCHIVADO POR RETIRO DEL AUTOR,,,https://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/42,2022 - 2026,2022 - 2023
