,number,title,Autores,type_bill,year,period,state_bill,authors_positions,authors_count
126,PL186-22,PL-186 SOAT Incluye animales domesticos y silvestres,['Honorable Senador: JUAN PABLO GALLO MAYA.'],Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,1.0
127,PL185-22,PL-185 Independencia al Instituto Nacional Tecnico Cientifio de CIencias Foreneses,"['Honorables Senadores: GUSTAVO BOLIVAR MORENO', 'ROBERT DAZA', 'IVAN CEPEDA CASTRO', 'CAROLINA ESPITIA JEREZ', 'PABLO CATATUMBO', 'FABIAN DÍAZ PLATA', 'POLIVIO LEANDRO ROSALES', 'CLARA LÓPEZ', 'JONATHAN PULIDO HERNÁNDEZJAEL QUIROGA', 'AIDA QUILCUE VIVAS', 'MARTHA PERALTA EPIEYU', 'JULIAN GALLO CUBILLOS', 'OMAR DE JESUS RESTREPO CORREA', 'ARIEL AVILA', 'AIDA AVELLA ESQUIVEL', 'INTI ASPRILLA', 'ISABEL CRISTINA ZULETA', 'GLORIA FLOREZ SCHNEIDER', 'ESMERALDA HERNÁNEZ', 'ALEXANDER LÓPEZ MAYA.\r\nHonorable Representante: SUSANA GÓMEZ CASTAÑO.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.9444444444444444,18.0
128,PL184-22,PL-184 Proteccion del consumidor de comercio electronico,['Honorable Senadora: NADIA GEORGETTE BLEL SCAFF\r\nHonorable Representante: JULIANA ARAY FRANCO.'],Proyecto de ley,2022-2023,2022 - 2026,objetado,0.0,2.0
129,PL183-22,PL-183 Prohibe la traccion con animales para uso turistico,"['Honorables Senadores. NADIA GEORGETTE BLEL SCAFF', 'JORGE ENRIQUE BENEDETTI MARTELO', 'ENRIQUE CABRALES BAQUERO', 'LIDIO ARTURO GARCÍA TURBAY', 'HONORIO MIGUEL HENRIQUEZ PINEDO.\r\nHonorables Representantes. JULIANA ARAY FRANCO', 'SILVIO JOSÉ CARRASQUILLA TORRES', 'YAMIL HERNANDO ARANA PADAUI', 'DORINA HERNÁNEZ PALOMINO', 'ANDRES GUILLERMO MONTES CELEDÓN.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.2,10.0
130,PL182-22,PL-182 Reforma a ley del deporte,"['ANGELICA LISBETH LOZANO CORREA', 'MARTHA ISABEL PERALTA EPIEYU', 'ANA PAOLA AGUDELO GARCÍA', 'SOR BERENICE BEDOYA PÉREZ', 'MIGUEL ÁNGEL PINTO HERNÁNDEZ;  OLGA LUCIA VELÁSQUEZ NIETO', 'JUAN CAMILO LONDOÑO BARRERA', 'ELKIN RODOLFO OSPINA OSPINA', 'WILMER YAIR CASTELLANOS HERNÁNDEZ', 'JUAN DIEGO MUÑÓZ CABRERA', 'JAIME RAÚL SALAMANCA TORRES', 'ALFREDO MONDRAGÓN GARZÓN', 'JUAN CARLOS VARGAS', 'GERMÁN JOSÉ GÓMEZ LÓPEZ', 'JAIRO HUMBERTO CRISTO CORREA', 'MARTHA LISBETH ALFONSO JURADO', 'GERMÁN ROGELIO ROZO ANIS', 'LEIDER ALEXANDRA VASQUEZ OCHOA', 'HUGO ALFONSO ARCHILA SUÁREZ', 'AGMETH JOSÉ ESCAF TIJERINO', 'HECTOR DAVID CHAPARRO CHAPARRO', 'JUAN FELIPE CORZO ALVAREZ', 'GERARDO YEPES CARO', 'CAMILO ESTEBAN ÁVILA MORALES', 'JORGE ALEXANDER QUEVEDO HERRERA y otras firmas ilegibles.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.48,25.0
131,PL181-22,PL-181 Politica de paz de estado,"['Honorables Senadores: IVÁN CEPEDA CASTRO', 'ARIEL FERNANDO AVÍLA MARTÍNEZ', 'JAEL QUIROGA CARRILLO', 'ISABEL CRISTINA ZULETA LÓPEZ', 'PAULINO RIASCOS RIASCOS', 'ALEJANDRO ALBERTO VEGA PÉREZ', 'GUSTAVO BOLIVAR MORENO \r\nHonorables Representantes: DAVID RICARDO RACERO MAYORCA', 'HERACLITO LANDINEZ SUÁREZ', 'LUIS ALBERTO ALBÁN URBANO', 'CARLOS ALBERTO CARREÑO MARIN', 'ÁLVARO LEONEL RUEDA CABALLERO', 'ANDRÉS DAVID CALLE AGUAS', 'GABRIEL BECERRA YAÑEZ', 'ALIRIO URIBE MUÑOZ', 'PEDRO JOSÉ SÚAREZ VACCA', 'AGMETH JOSÉ ESCAF TIGERINO', 'KARYME ADRANA COTES MARTÍNEZ', 'OSCAR HERNÁN SÁNCHEZ LEÓN', 'WILLIAM FERNEY ALJURE MARTÍNEZ', 'CARLOS FELIPE QUINTERO OVALLE', 'GERMÁN JOSÉ GÓMEZ LÓPEZ', 'LUZ MARÍA MÚNERA MEDINA', 'JAMES HERMENEGILDO MOSQUERA TORRES\r\nMinistro del Interior - ALFONSO PRADA GIL\r\nMinistro de Defensa Nacional - IVAN VELASQUEZ GOMEZ']",Proyecto de ley,2022-2023,2022 - 2026,ley,0.7083333333333334,24.0
132,PL180-22,PL-180 Regimen de vivienda individual de largo plazo,"['Honorable Senadora: NADYA GEORGETTE BLEL SCAF \r\nHonorables Representantes: YAMIL HERNANDO ARANA PADAUI', 'ADRIANA MAGALI MATIZ VARGAS', 'WADITH ALBERTO MANZUR IMBETT', 'JORGE ENRIQUE BENEDETTI MARTELO', 'MODESTO ENRIQUE AGUILERA VIDES', 'BUENAVENTURA LEÓN LEÓN', 'SALIM VILLAMIL QUESSEP', 'SILVIO JOSÉ CARRASQUILLA TORRES', 'ARMANDO ANTONIO ZABARAÍN DE ARCE', 'MARÍA CRISTINA SOTO DE GÓMEZ', 'CÉSAR AUGUSTO LORDUY MALDONADO']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.2857142857142857,7.0
133,PL179-22,PL-179 Tasa Pro deporte y recreacion,"['Honorables Representantes: ALFREDO APE CUELLO BAUTE', 'ARMANDO ANTONIO ZABARAÍN DE ARCE', 'JUAN CARLOS RIVERA PEÑA', 'BUENAVENTURA LEÓN LEÓN']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.3333333333333333,3.0
135,PL177-22,PL-177 ESTAMPILLA PRO-HOSPITALES ARAUCA,['Honorable Representante.JOSÉ VICENTE CARREÑO CASTRO'],Proyecto de ley,2022-2023,2022 - 2026,archivado,-1.0,1.0
136,PL176-22,PL-176 ,"['Honorables Senadores .MAURICIO GOMEZ AMIN', 'JUAN CARLOS GARCES ROJAS.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,2.0
137,PL175-22,PL-175 ,"['Honorables Senadores: ANDREA PADILLA VILLARRAGA', 'FABIAN DIAZ PLATA', 'MARIA JOSE PIZARRO', 'ANGELICA LOZANO CORREA', 'ALEXANDER LOPEZ MAYA.\n\r\nHonorables Representes: SANTIAGO OSORIO MARIN', 'ELKIN RODOLFO OSPINA', 'JAIME RAUL SALAMANCA TORRES', 'DUVALIER SANCHEZ ARANGO', 'JUAN CAMILO LONDOÑO BARRERA', 'WILMER CASTELLANOS', 'ALEJANDRO GARCIA RIOS', 'CRISTIAN DANILO AVENDAÑO', 'MARTHA LISBETH ALFONSO JURADO', 'JUAN SEBASTIAN GOMEZ', 'CAROLINA ARBELAEZ GIRALDO']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.75,16.0
138,PL174-22,PL-174 Comedores comunitarios,['NICOLAS ALBEIRO ECHEVERRY ALVARÁN;  ANDRES FELIPE JIMENEZ VARGAS.'],Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,2.0
139,PL173-22,PL-173 Sustitucion de seres vivos por transporte electrico,['Honorable Senador. NICOLAS ALBEIRO ECHEVERRY ALVARAN Honorable Representante. ANDRES FELIPE JIMENEZ VARGAS.'],Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,2.0
140,PL172-22,PL-172 Incentivos par los consejos de Juventud,['Honorable Senador. JOSE ALFREDO GNECCO ZULETA.'],Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,1.0
141,PL171-22,PL-171 Rio Rancheria,"['Honorables Senadores. MARTHA ISABEL PERALTA EPIEYÚ', 'ROY BARRERAS MONTEALEGRE', 'ROBERT DAZA GUEVARA', 'FABIAN DIAZ PLATA', 'MARÍA JOSÉ PIZARRO RODRÍGUEZ', 'PABLO CATATUMBO TORRES VICTORIA', 'GLORIA INES FLÓREZ SCHNEIDER', 'INTI RAUL  ASPRILLA', 'PEDRO HERNANDO FLOREZ PORRAS', 'POLIVIO ROSALES CADENA', 'JONATHAN PULIDO HERNÁNDEZ; \r\nHonorables Representantes.  HERACLITO LANDINEZ SUAREZ', 'CARMEN RAMÍREZ BOSCÁN', 'ALIRIO URIBE MUÑOZ', 'ERICK VELASCO BURBANO']",Proyecto de ley,2022-2023,2022 - 2026,ley,1.0,15.0
142,PL170-22,PL-170 Reforma la la ley 1475 de 2011,"['H.S: ANA MARÍA CASTAÑEDA GÓMEZ', 'DAVID LUNA SÁNCHEZ', 'ANTONIO ZABARAÍN GUEVARA', 'EDGAR DÍAZ CONTRERAS', 'DIDIER LOBO CHINCHILLA', 'JOSÉ LUIS PÉREZ OYUELA', 'CARLOS MARIO FARELO DAZA', 'JORGE BENEDETTI MARTELO', 'CARLOS ABRAHAM JIMENEZ LÓPEZ', 'ARTURO CHAR CHALJUB', 'CARLOS FERNANDO MOTOA', 'SANDRA RAMÍREZ; y los Honorables Representantes CAROLINA ARBELÁEZ', 'BETSY PÉREZ ARANGO', 'LINA MARÍA GARRIDO.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.8666666666666667,15.0
143,PL169-22,PL-169 Tarifas diferenciales para sistemas de transporte masivo,"['Honorables Senadores. SANDRA RAMIREZ LOBO', 'IMELDA DAZA COTES', 'JULIAN GALLO CUBILLOS', 'PABLO CATATUMBO TORRES Honorables Representantes. CARLOS ALBERTO CARREÑO MARIN', 'LUIS ALBERTO ALBAN', 'JAIRO REINALDO CALA', 'OMAR DE JESUS RESTREPO CORREA', 'PEDRO BARACUTAO GARCIA OSPINA', 'GERMAN JOSE GOMEZ LOPEZ']",Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,10.0
144,PL168-22,PL-168 Jurisdiccion Agraria,"['Honorables Senadores. ANGELICA LOZANO CORREA', 'ROY BARRESTAS MONTEALEGRE.\r\nHonorables Representantes. JULIA MIRANDA LONDONO', 'CRISTIAN DANILO AVENDAÑO.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.75,4.0
145,PL167-22,PL-167 Creditos Agropecuarios,"['Honorables Senadores. PALOMA VALENCA LASERNA', 'HONORIO MIGUEL HENRIQUEZ PINEDO', 'ANDRES FELIPE GUERRA HOYOS', 'JOSE VICENTE CARREÑO CASTRO', 'ENRIQUE CABRALES BAQUERO', 'PAOLA ANDREA HOLGUIN MORENO', 'Honorables Representantes. JOSE JAIME USCATEGUI PASTRANA. SUGEIN ACOSTA INFANTE', 'HERNAN DARIO CADAVID MARQUEZ', 'CHRISTIAN MUNIR GARCES ALJURE', 'CARLOS EDWAR OSORIO AGUILAR', 'OSCAR DARIO PEREZ PINEDA', 'ANDRES EDUARDO FORERO MOLINA', 'ESINSON VLADIMIR OLAYA MANCIPE.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-1.0,14.0
146,PL166-22,PL-166 Prevencion del Trastorno Mental,"['ENRIQUE CABRALES BAQUERO', 'MARIA FERNANDA CABAL MOLINA', 'HONORIO MIGUEL HENRÍQUEZ PINEDO', 'ANDRES FELIPE GUERRA HOYOS', 'ESTEBAN QUINTERO CARDONA;  OSCAR LEONARDO VILLAMIZAR MENESES', 'EDUAR ALEXIS TRIANA RINCÓN', 'HUGO DANILO LOZANO PIMIENTO', 'EDINSON VLADIMIR OLAYA MANCIPE', 'YULIETH ANDREA SÁNCHEZ CARREÑO', 'HERNÁN DARÍO CADAVID MÁRQUEZ', 'JOSÉ JAIME USCÁTEGUI PASTRANA', 'ANDRÉS EDUARDO FORERO MOLINA.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-1.0,13.0
147,PL165-22,PL-165 Colombia Mayor,['ENRIQUE CABRALES BAQUERO.'],Proyecto de ley,2022-2023,2022 - 2026,archivado,-1.0,1.0
148,PL164-22,PL-164 Contratacion carreras Tecnicas y Tecnologicas - Fuerzas Militares,['Honorable Senador. ENRIQUE CABRALES BAQUERO'],Proyecto de ley,2022-2023,2022 - 2026,archivado,-1.0,1.0
149,PL163-22,PL-163 Beneficio de la primera infancia,['Honorable Senador. ENRIQUE CABRALES BAQUERO.'],Proyecto de ley,2022-2023,2022 - 2026,archivado,-1.0,1.0
150,PL162-22,PL-162 Bicentenario batalla ayacucho,['Honorable Representante. ESTEBAN QUINTERO CARDONA.'],Proyecto de ley,2022-2023,2022 - 2026,ley,-1.0,1.0
151,PL161-22,PL-161 Desarrollo FamiliarDescargar ,"['JUAN DIEGO GOMEZ JIMENEZ', 'HR NICOLAS ALBEIRO ECHEVERRY ALVARÁN.']",Proyecto de ley,2022-2023,2022 - 2026,ley,0.0,1.0
152,PL160-22,PL-160 Delimita zonas de transicion de bosque alto-andinoDescargar ,['Honorable Senador FABIÁN DÍAZ PLATA.'],Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,1.0
153,PL159-22,PL-159 Atención Medica a Disforia de genero,"['OSCAR MAURICIO GIRALDO HERNÁNDEZ', 'NICOLÁS ALBEIRO ECHEVERRY ALVARÁN;  LUIS MIGUEL LÓPEZ ARISTIZABAL.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,3.0
154,PL158-22,PL-158 Ley Mamá cuentas Conmigo,"['OSCAR MAURICIO GIRALDO HERNÁNDEZ', 'NICOLÁS ALBEIRO ECHEVERRY ALVARÁN', 'NADIA GEORGETTE BLEL SCAFF', 'MANUEL ANTONIO VIRGUEZ PIRAQUIVE', 'GERMÁN ALCIDES BLANCO ÁLVAREZ', 'CARLOS EDUARDO GUEVARA VILLABÓN', 'NORMA HURTADO SÁNCHEZ', 'EFRAÍN JOSÉ CEPEDA SARABIA;  LUIS MIGUEL LÓPEZ ARISTIZABAL', 'JUAN FERNANDO ESPINAL RAMÍREZ.']",Proyecto de ley,2022-2023,2022 - 2026,objetado,-0.3,10.0
155,PL157-22,PL-157 Adiciona Cargos de planta a la Fiscalina General de la Nacion,"['Fiscal General de la Nación', 'DOCTOR FRANCISCO BARBOSA DELGADO', 'con el acompañamiento del  R.OY BARRERAS MONTEALEGRE.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,1.0
156,PL156-22,PL-156 Procedimiento para las victimas ante la JEP,"['Honorables Senadores MARIA FERNANDA CABAL MOLINA', 'ENRIQUE CABRALES BAQUERO', 'HONORIO MIGUEL HENRIQUEZ PINEDO', 'PALOMA VALENCIA LASERNA', 'ANDRÉS FELIPE GUERRA', 'JosÉ VICENTE CARRENO CASTRO\r\nHonorables Representantes HERNÁN DARIO CADAVID\r\nMARQUEZ', 'EDINSON VLADIMIR OLAYA MANCIPE', 'YULIETH SÁNCHEZ C.', 'CARLOS EDWAR OSORIO\r\nAGUIAR', 'OLMES ECHEVERRIA DE LA ROSA', 'JUAN ESPINAL.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.8333333333333334,12.0
157,PL155-22,PL-155 Programa de alimentacion escolar (PAE),['Honorable Senador: ANTONIO JOSÉ CORREA JIMENEZ'],Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,1.0
158,PL154-22,PL-154 Proteccion de ecosistemas acuaticos,"['Honorables Senadores: LAURA ESTER FORTICH SÁNCHEZ', 'EFRAIN CEPEDA SARABIA', 'JUAN FELIPE LEMOS URIBE', 'LORENA RIOS CUELLAR', 'JOHN JAIRO ROLDAN AVENDAÑO.C LAUDIA PEREZ GIRALDO\r\nHonorables Representantes:', 'SILVIO CARRASQUILLA', 'ELIZABETH JAY-PANG DIAZ y otras firmas ilegibles']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.14285714285714285,7.0
159,PL153-22,PL-153 Regimen de bienes maritimos y costeros,"['Honorables Senadores LAURA ESTER FORTICH SANCHEZ', 'JUAN FELIPE\r\nLEMOS URIBE', 'LORENA RIOS CUELLAR', 'JOHN JAIRO ROLDAN AVENDANO;  \r\nHonorables\r\nRepresentantes SILVIO CARRASQUILLA', 'DOLCEY OSCAR TORRES ROMERO', 'CLAUDIA PÉREZ\r\nGONZÁLEZ', 'ELIZABETH JAY-PANG DIAZ y otras firmas ilegibles.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.25,8.0
160,PL152-22,PL-152 Proteccion de fauna silvestre en vias terrestres,"['Honorables Senadores LAURA ESTER FORTICH SÁNCHEZ', 'LORENA RIOS CUELLAR', 'PALOMA\r\nVALENCIA LASERNA', 'NADIA BLEL SCAFF', 'ALEJANDRO VEGA PEREZ', 'JUAN FELIPE LEMOS URIBE', 'EFRAIN CEPEDA SARABIA', 'JOHN JAIRO ROLDAN AVENDANO; \r\nHonorables Representantes CESAR CRISTIAN GOMEZ CASTRO', 'DOLCEY oSCAR TORRES ROMERO', 'CLAUDIA PEREZ GONZÁLEZ', 'SILVIO CARRASQUILLA', 'ELIZABETH JAY-PANG DIAZ y otras firmas ilegibles.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.18181818181818182,11.0
161,PL151-22,PL-151 Responsabilidad Patrimonial en las entidades de salud (EPS),"['LAURA ESTER FORTICH SÁNCHEZ', 'NADIA GEORGETTE BLEL SCAFF', 'JUAN FELIPE LEMOS URIBE', 'ALEJANDRO ALBERTO VEGA PÉREZ', 'JOHN JAIRO ROLDÁN AVENDANO', 'BEATRIZ LORENA RÍOS CUELLAR;  DOLCEY OSCAR TORRES ROMERO', 'ELIZABETH JAY-PANG DIAZ y otras firmas ilegibles.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.125,8.0
162,PL150-22,PL-150 Ley de concursos independientes para personas discapacitadas,"['LAURA ESTER FORTICH SÁNCHEZ', 'MANUEL VIRGUÉZ PIRAQUIVE', 'CARLOS EDUARDO GUEVARA VILLABÓN', 'ALEJANDRO CARLOS CHACÓN CAMARGO', 'ANA PAOLA AGUDELO GARCÍA', 'JUAN FELIPE LEMOS URIBE', 'NADIA GEORGETTE BLEL SCAFF', 'EFRAÍN JOSÉ CEPEDA SARABIA', 'SOLEDAD TAMAYO TAMAYO', 'JOHN JAIRO ROLDÁN AVENDAÑO', 'BEATRIZ LORENA RÍOS CUELLAR', 'KARINA ESPINOSA OLIVER', 'CLAUDIA MARÍA PEREZ GIRALDO;  CESAR CRISTIAN GÓMEZ CASTRO', 'DOLCEY OSCAR TORRES ROMERO', 'IRMA LUZ HERRERA RODRÍGUEZ', 'SILVIO JOSÉ CARRASQUILLA TORRES y otras firmas ilegibles.']",Proyecto de ley,2022-2023,2022 - 2026,ley,-0.29411764705882354,17.0
163,PL149-22,PL-149 Ley heroinas y heroes de bata blanca,"['LAURA ESTER FORTICH SÁNCHEZ', 'BEATRIZ LORENA RÍOS CUELLAR;  ELIZABETH JAY-PANG DIAZ.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.3333333333333333,3.0
164,PL148-22,PL-148 Inicativas Locales,['H.R: Fabian Diaz Plata'],Proyecto de ley,2022-2023,2022 - 2026,ley,1.0,1.0
165,PL147-22,PL-147 Regula el servicio de telefonia movil celular,"['Honorables·Senadores EFRAÍN CEPEDA SARABIA', 'MARCOS DANIEL PINEDA GARCÍA', 'NADIA BLEL SCAFF', 'MIGUEL ANGEL BARRETO CASTILLO', 'MAURICIO GIRALDO', 'CARLOS ANDRÉS TRUJILLO GONZÁLEZ', 'GERMÁN BLANCO ÁLVAREZ', 'LILIANA BITAR CASTILLA', 'SOLEDAD TAMAYO TAMAYO', 'DIELA LILIANA BENAVIDES SOLARTE', 'NIGOLAS ALBEIRO ECHEVERRY ALVARÁN.\r\nHonorables Representantes JUAN CARLOS WILLS OSPINA', ""ARMANDO ANTONIO ZABARAIN D'ARCE"", 'JULIO ROBERTO SALAZAR PERDOMO', 'JOSÉ ALFREDO MARÍN', 'INGRID MARLENE SOGAMOSO ALFONSO', 'NIGOLAS ANTONIO BARGUIL CUBILLOS', 'YAMIL HERNANDO ARANA PADAUI', 'JORGE ALEXANDER QUEVEDO', 'ALFREDO APE CUELLO BAUTE.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,20.0
166,PL146-22,PL-146 Proteccion a usuarios de servicio de transporte aereo,"['Honorables- Senadores EFRAÍN CEPEDA SARABIA', 'MARCOS DANIEL PINEDA GARCÍA', 'NADIA BLEL SCAFF', 'JUAN SAMY MERHEG MARÚN', 'MIGUEL ANGEL BARRETO CASTILLO', 'MAURICIO GIRALDO', 'GERMÁN BLANCO ÁLVAREZ', 'LILIANA BITAR CASTILLA', 'SOLEDAD TAMAYO TAMAYO', 'DIELA LILIANA BENAVIDES SOLARTE', 'PEDRO HERNANDO FLOREZ PORRAS', 'NICOLAS ALBEIRO ECHEVERRY ALVARÁN', 'ANA MARÍA CASTAÑEDA GÓMEZ', 'CARLOS ANDRES TRUJILLO GONZÁLEZ', 'LAURA ESTHER FORTICH SÁNCHEZ.\r\nHonorables Representantes JUAN CARLOS WILLS OSPINA', ""ARMANDO ANTONIO ZABARAIN D'ARCE"", 'JULIO ROBERTO SALAZAR PERDOMO', 'INGRID MARLENE SOGAMOSO ALFONSO', 'NICOLAS ANTONIO BARGUIL CUBILLOS', 'RUTH AMELIA CAICEDO ROSERO', 'YAMIL HERNANDO ARANA PADAUI', 'JOSÉ ALFREDO MARÍN', 'CIRO ANTONIO RODRIGUEZ PINZON', 'UNA MARÍA GARRIDO MARTÍN', 'JAIME RAÚL SALAMANCA TORRES', 'DIEGO CAICEDO NAVAS', 'HERNANDO GONZÁLEZ', 'ALFREDO APE CUELLO BAUTE.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.034482758620689655,29.0
167,PL145-22,PL-145 Periodicidad minima de informes de deforestacion y degradacion de los bosques,"['Honorables Senadores GUSTAVO BOLIVAR MORENO', 'ROBERT DAZA GUEVARA', 'ALEXANDER LOPEZ MAYA;\r\nHonorables Representantes LEILA MARLENY RINCÓN TRUJILLO', 'EDUARD SARMIENTO HIDALGO', 'JORGE ANDRÉS CANCIMANCE LÓPEZ.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,6.0
168,PL144-22,PL-144 Crea la Direccion de Agroecologia Nacional,"['Honorables Senadores ROBERT DAZA GUEVARA', 'GUSTAVO BOLIVAR MORENO', 'JONATHAN PULIDO HERNANDEZ', 'WILSON ARIAS CASTILLO', 'JAHEL QUIROGA CARRILLO', 'IVAN CEPEDA CASTRO', 'PEDRO HERNANDO FLOREZ PORRAS', 'SANDRA YANETH JAIMES CRUZ', 'PABLO CATATUMBO TORRES VICTORIA', 'ALEX FLOREZ HERNÁNDEZ', 'GUIDO ECHEVERRY PIEDRAHITA', 'GUSTAVO ADOLFO MORENO HURTADO', 'INTI RAUL ASPRILLA REYES', 'FABIAN DIAZ PLATA; ARIEL AVILA', 'CLARA EUGENIA LÓPEZ OBREGÓN', 'ISABEL CRISTINA ZULETA LÓPEZ', 'ALEXANDER LOPEZ MAYA.\r\nHonorables Representantes JORGE ANDRÉS CANCIMANCE LÓPEZ', 'ALFREDO MONDRAGÓN GARZÓN', 'EDUARD SARMIENTO HIDALGO', 'GABRIEL BECERRA YAÑEZ', 'LEILA MARLENY RINCÓN TRUJILLO', 'CRISTIAN DANILO AVENDAÑO FINO', 'SUSANA GÓMEZ CASTAÑO', 'MARTHA LISBETH ALFONSO JURADO', 'ERICK VELASCO.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,26.0
169,PL143-22,PL-143 Modifica el codigo sustantivo del trabajo,['FABIAN DIAZ PLATA'],Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,1.0
170,PL142-22,PL-142 Accidentalidad vial,"['Honorables Senadores: ROY BARRERAS MONTEALEGRE', 'MIGUEL ANGEL PINTO HERNANDEZ', 'BERNER ZAMBRANO ERAZO', 'ANGELICA  LOZANO CORREA', 'NICOLAS  ALBEIRO  ECHEVERRY ALVARAN', 'GERMAN BLANCO ALVAREZ', 'EFRAIN CEPEDA SARABIA', 'MARIA JOSE PIZARRO RODRIGUEZ', 'MIGUEL ANTONIO DAVID ANDRES LUNA SANCHEZ.']",Proyecto de ley,2022-2023,2022 - 2026,pendiente,0.2222222222222222,9.0
171,PL141-22,PL-141 Reforma procedimientos electorales,"['H.S: ANA PAOLA AGUDELO GARCIA', 'MANUEL VIRGUEZ PIRAQUIVE', 'CARLOS EDUARDO GUEVARA.\r\nH.R: IRMA LUZ HERRERA RODRIGUEZ.']",Proyecto de ley,2022-2023,2022 - 2026,corte,-1.0,4.0
172,PL140-22,PL-140 Resuelve situacion militar a mayores de 24 años,"['H.S: MANUEL VIRGUEZ PIRAQUIVE', 'CARLOS EDUARDO GUEVARA', 'ANA PAOLA AGUDELO\r\nH.R: IRMA LUZ HERRERA RODRIGUEZ.']",Proyecto de ley,2022-2023,2022 - 2026,ley,-1.0,4.0
173,PL139-22,PL-139 Practicas laborales y pasantias,"['H.S: ANA PAOLA AGUDELO GARCIA', 'MANUEL VIRGUEZ PIRAQUIVE', 'CARLOS EDUARDO GUEVARA.\r\nH.R: LUZ HERRERA RODRIGUEZ']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-1.0,4.0
174,PL138-22,PL-138 Politica Publica de lactancia Materna,"['EFRAÍN JOSÉ CEPEDA SARABIA', 'NADIA GEORGETTE BLEL SCAFF', 'LILIANA ESTHER BITAR CASTILLA', 'SOLEDAD TAMAYO TAMAYO', 'DIELA LILIANA BENAVIDES SOLARTE', 'MIGUEL ÁNGEL BARRETO CASTILLO', 'JUAN SAMY MERHEG MARÚN', 'NICOLÁS ALBEIRO ECHEVERRY ALVARÁN', 'GERMÁN BLANCO ÁLVAREZ', 'JOSÉ ALFREDO MARIN LOZANO;  ARMANDO ANTONIO ZABARAÍN D´ARCE', 'JUAN CARLOS WILLS OSPINA', 'INGRID MARLEN SOGAMOSO ALFONSO', 'RUTH AMELIA CAYCEDO ROSERO', 'YAMIL HERNANDO ARANA PADAUI', 'JULIO ROBERTO SALAZAR PERDOMO. DELCY ESPERANZA ISAZA BUENAVENTURA', 'GERARDO YEPES CARO', 'NICOLÁS ANTONIO BARGUIL CUBILLOS', 'ALFREDO APE CUELLO BAUTE.']",Proyecto de ley,2022-2023,2022 - 2026,ley,0.0,20.0
175,PL137-22,PL-137 Microcredito a poblaciones de escasos recursos,"['H.S: EFRAIN JOSE CEPEDA SARABIA', 'NADIA BLEL SCAFF', 'DIELA LILIANA BENAVIDES SOLARTE', 'LILIANA BITAR CASTILLA', 'MARCOS DANIEL PINEDA GARCIA', 'NICOLAS ALBEIRO ECHEVERRY ALVARAN.\r\nH.R: ARMANDO ANTONIO ZABARAIN D´ARCE', 'JUAN CARLOS WILLS OSPINA', 'JULIO ROBERTO SALAZAR PERDOMO', 'YAMIL HERNANDO ARANA PADAUI', 'JOSE ALFREDO MARIN', 'ALFREDO APE CUELLO BAUTE', 'INGRID MARLEN SOGAMOSO', 'ALFONSO', 'JORGE ALEXANDER QUEVEDO HERRERA', 'NICOSLAS BARGUIL CUBILLOS.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,15.0
176,PL136-22,PL-136 Reduce la cotización mensual al régimen contributivo de salud de los pensionados ,['ALEXANDER LOPEZ MAYA'],Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,1.0
177,PL135-22,PL-135 Re ajuste prima de actividad a agentes de la policia,['JOSE VICENTE CARREÑO CASTRO'],Proyecto de ley,2022-2023,2022 - 2026,archivado,-1.0,1.0
