,number,title,Autores,type_bill,year,period,state_bill,authors_positions,authors_count
11,PL301-22,PL 301-23 Motos,['JONATHAN FERNEY PULIDO HERNANDEZ'],Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,1.0
12,PL300-22,PL 300-23 Ingenieria Agropecuaria,"['NICOLAS ALBEIRO ECHEVERRY ALVARAN', 'H.R ANDRES FELIPE JIMENEZ']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,2.0
13,PL299-22,PL 299-23 Empleo,['NICOLAS ALBEIRO ECHEVERRY ALVARAN;  ANDRES FELIPE JIMENEZ VARGAS'],Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,2.0
14,PL298-22,PL 298 DE 2023 Honores Misael Pastrana,"['PALOMA VALENCIA LASERNA', 'PAOLA ANDREA HOLQUIN MORENO', 'MIGUEL URIBE TURBAY', 'LILIANA BITAR CASTLLO', 'GERMAN BLANCO ALVAREZ', 'OSCAR BARRETO QUIROGA', 'MARCOS DANIEL PINEDA GARCIA', 'JUAN CARLOS GARCIA GOMEZ', 'EFRAIN CEPEDA SARABIA', 'DIELA LILIANA BENAVIDES SOLARTE', 'CIRO ALEJANDRO RAMIREZ CORTES', 'CHRISTIAN GARCES', 'EDUAR ALEXIS TRIANA RINCON', 'JUAN ESPINAL', 'JOSE JAIME USCATEGUI PASTRANA', 'HECTOR MAURICIO CUELLAR RINCON', 'ARMANDO ZABARAIN D¨ARCE', 'ANDRES FELIPE JIMENEZ VARGAS', 'JULIANA ARAY FRANCO', 'ANGELA MARIA VERGARA GONZALEZ', 'JUAN DANIEL PEÑUELA CALVACHE', 'WADITH ALBERTO MANZUR', 'IMBETT', 'LIBARDO CRUZ CASADO', 'ALFREDO APE CUELLO BAUTE', 'JUAN LORETTO GOMEZ SOTO']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.3333333333333333,24.0
15,PL297-22,PL 297 DE 2023 Honores Belisario Betancur,"['PALOMA VALENCIA LASERNA', 'CIRO ALEJANDRO RAMIREZ CORTES', 'PAOLA ANDREA HOLGUIN MORENO', 'MIGUEL URIBE TUBAY', 'LILIANA BITAR CASTILLA', 'GERMAN BLANCO ALVAREZ', 'OSCAR  BARRETO QUIROGA', 'DIELA LILIANA BENAVIDES SOLARTE', 'EFRAIN CEPEDA SARABIA', 'MARCOS DANIEL PINEDA GARCIA', 'JUAN CARLOS GARCIA GOMEZ', 'EDUAR ALEXIS TRIANA RINCON', 'CHRISTIAN GARCES', 'JUAN ESPINAL', 'JOSE JAIME USCATEGUI PASTRANA', 'HECTOR MAURICIO CUELLAR PINZON', 'ARMANDO ZABARAIN DE D ARCE', 'ANDRES FELIPE JIMENEZ VARGAS', 'JILIANA ARAY BLANCO', 'ALFREDO APE CUELLO BAUTE', 'ANGELA MARIA VERGARA GONZALEZ', 'JUAN DANIEL PEÑUELA CALVACHES', 'WADITT ALBERTO MANZUR IMBETT', 'JUAN LORETTO GOMEZ SOTO Y LIBARDO  CRUZ CASADO.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.3333333333333333,24.0
16,PL296-22,PL 296-23 Ley de Veteranos,"['PALOMA VALENCIA  LASERNA', 'ANDRES FELIPE GUERRA HOYOS', 'ENRIQUE CABRALES BAQUERO', 'MARIA FERNANDA CABAL MOLINA', 'CIRO ALEJANDRO RAMIREZ CORTES', 'YENICA SUGEIN ACOSTA INFANTE', 'OSCAR LEONARDO VILLAMIZAR MENESES', 'JOSE JAIME USCATEGUI PASTRANA.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-1.0,8.0
17,PL295-22,PL 295-23 PolÍtica de Salud,"['SOLEDAD TAMAYO TAMAYO', 'MARCOS DANIEL PINEDA GARCIA', 'BEATRIZ  LORENA RIOS CUELLAR.']",Proyecto de ley,2022-2023,2022 - 2026,archivado,-0.3333333333333333,3.0
18,PL294-22,PL 294-2023 - ONE HEALTHDescargar ,"['Honorables Senadores MARCOS DANIEL PINEDA GARCÍA', 'GERMAN ALCIDES BLANCO ÁLVAREZ', 'NICOLÁS ALBEIRO ECHEVERRY ALVARÁN', 'NADYA GEORGETTE BLEL SCAFF', 'LILIANA ESTHER BITAR CASTILLA', 'DIELA LILIANA BENAVIDES SOLARTE', 'JOSÉ ALFREDO MARÍN LOZANO', 'JUAN SAMY MERHEG MARÚN', 'OSCAR BARRETO QUIROGA; y los Honorables Representantes WADITH ALBERTO MANZUR IMBETT', 'JULIO ROBERTO SALAZAR PERDOMO', 'NICOLÁS BARGUIL CUBILLOS', 'HECTOR MAURICIO CUELLAR PINZÓN']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,13.0
19,PL293-22,PL293-2023 - REFORMA PENSIONALDescargar ,"['Ministra del Trabajo', 'Dra. GLORIA INES RAMÍREZ RIOS; con el acompañamiento de los Honorables Senadores CESAR AUGUSTO PACHÓN ACHURY; GLORIA INÉS FLÓREZ SCHNEIDER', 'DAVID RICARDO RACERO MAYORCA', 'AGMETH SCAFF TIJERINO', 'JORGE ALEJANDRO OCAMPO GIRALDO', 'ERICK ADRIAN VELASCO BURBANO', 'GERMAN JOSÉ GÓMEZ LÓPEZ', 'EDUARD GIOVANNY SARMIENTO HIDALGO.']",Proyecto de ley,2022-2023,2022 - 2026,ley,1.0,9.0
21,PL291-22,PL 291-2023 - ICMADescargar ,['BERENICE BEDOYA PÉREZ'],Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,1.0
22,PL290-22,PL 290-2023 SISTEMA PENALDescargar ,['GUIDO ECHEVERRY PIEDRAHITA'],Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,1.0
